OTAB_010wtp_T025_q	OTAB_010wtp_T025_i	OTAB_020wtp_T025_q	OTAB_020wtp_T025_i	OTAB_030wtp_T025_q	OTAB_030wtp_T025_i	OTAB_040wtp_T025_q	OTAB_040wtp_T025_i	OTAB_050wtp_T025_q	OTAB_050wtp_T025_i	OTAB_061wtp_T025_q	OTAB_061wtp_T025_i	OTAB_062wtp_T025_q	OTAB_062wtp_T025_i	OTAB_063wtp_T025_q	OTAB_063wtp_T025_i	OTAB_064wtp_T025_q	OTAB_064wtp_T025_i	OTAB_065wtp_T025_q	OTAB_065wtp_T025_i	OTAB_066wtp_T025_q	OTAB_066wtp_T025_i	OTAB_067wtp_T025_q	OTAB_067wtp_T025_i	OTAB_068wtp_T025_q	OTAB_068wtp_T025_i	OTAB_069wtp_T025_q	OTAB_069wtp_T025_i	OTAB_070wtp_T025_q	OTAB_070wtp_T025_i	OTAB_071wtp_T025_q	OTAB_071wtp_T025_i	OTAB_073wtp_T025_q	OTAB_073wtp_T025_i	OTAB_074wtp_T025_q	OTAB_074wtp_T025_i	OTAB_075wtp_T025_q	OTAB_075wtp_T025_i	OTAB_078wtp_T025_q	OTAB_078wtp_T025_i	OTAB_079wtp_T025_q	OTAB_079wtp_T025_i	OTAB_080wtp_T025_q	OTAB_080wtp_T025_i	OTAB_090wtp_T025_q	OTAB_090wtp_T025_i	OTAB_100wtp_T025_q	OTAB_100wtp_T025_i	OTAB_078wtp_T058_q	OTAB_078wtp_T058_i	OTAB_078wtp_T060_q	OTAB_078wtp_T060_i	OTAB_082wtp_T025_q	OTAB_082wtp_T025_i	OTAB_093wtp_T025_q	OTAB_093wtp_T025_i	OTAB_100wtp_T095_q	OTAB_100wtp_T095_i
0.3336208	0.00896758	0.3336208	0.01062656	0.3269806	0.005441964	0.3402609	0.01207813	0.3336208	0.02507754	0.3336208	0.02356221	0.5195355	0.0003257385	0.3336208	0.004553178	0.3269806	0.01737133	0.346901	0.01851536	0.3336208	0.0168101	0.3336208	0.007852991	0.3336208	0.0197766	0.3269806	0.0920555	0.3402609	0.01882741	0.6058453	0.01166058	0.4597794	1.108705e-08	0.4664191	1.529847e-05	0.9576512	0.002887341	0.4664191	0.01547763	0.2605781	0.2854693	0.5128961	0.01154837	0.3402609	0.02170302	0.3137003	0.9714871	0.4664191	0.006160242	0.4730588	0.03664037	0.6058453	0.0005647026	0.2738587	3.278001	0.2738587	0.5949912
0.3402609	0.02386342	0.3402609	0.01754615	0.3336208	0.008931588	0.346901	0.01069388	0.3402609	0.03431288	0.3402609	0.03215845	0.5261749	0.0006720387	0.3402609	0.01918331	0.3336208	0.01115241	0.3535411	0.008295493	0.3402609	0.01859472	0.3402609	0.01877417	0.3402609	0.04465804	0.3336208	0.09071006	0.346901	0.02232337	0.6124843	0.01225118	0.4730588	0.003055797	0.4730588	0.000124019	0.9642877	0.003287427	0.4730588	0.0004847565	0.2672184	0.2521644	0.5195355	0.001690178	0.346901	0.04011505	0.3203405	0.8815329	0.4730588	0.02427996	0.4796984	0.0290742	0.6124843	0.009375165	0.280499	0.8245388	0.280499	0.06961734
0.346901	0.02210292	0.346901	0.01350667	0.3402609	0.01743909	0.3535411	0.009547908	0.346901	0.04519135	0.346901	0.04661259	0.5328143	6.039613e-07	0.346901	0.01379015	0.3402609	0.03568212	0.3601812	0.007142313	0.346901	0.02207632	0.346901	0.02198376	0.346901	0.04817535	0.3402609	0.0966711	0.3535411	0.01379995	0.6191232	0.03384845	0.4796984	0.0008498224	0.4796984	2.970401e-06	0.9709241	0.00578325	0.4796984	0.0009807753	0.4332205	0.002186572	0.5261749	0.001789733	0.3535411	0.003371635	0.3269806	0.683032	0.4796984	0.001707302	0.486338	0.0001102995	0.6191232	0.001359257	0.2871393	0.9150998	0.2871393	0.1261117
0.3535411	0.01884295	0.3535411	0.0083715	0.346901	0.01463165	0.3601812	0.01231474	0.3535411	0.0195298	0.3535411	0.01233422	0.546093	3.182382e-06	0.3535411	0.008846421	0.346901	0.03186131	0.3668212	0.00823975	0.3535411	0.01033779	0.3535411	0.004508441	0.3535411	0.01450053	0.346901	0.1203185	0.3601812	0.01458641	0.6257621	0.02381261	0.486338	0.001269065	0.4929775	0.00142572	0.9775605	0.002249632	0.486338	0.008751622	0.4531397	0.009382847	0.5328143	3.937548e-05	0.3601812	0.006554012	0.3336208	0.5980049	0.486338	0.01623094	0.4929775	0.003625184	0.6257621	0.003937596	0.2937796	0.7758373	0.2937796	0.03741725
0.3601812	0.02003605	0.3601812	0.01539015	0.3535411	0.008686412	0.3668212	0.01523034	0.3601812	0.02742189	0.3601812	0.01339705	0.5593715	0.001026252	0.3601812	0.01132995	0.3535411	0.01871872	0.3734613	0.01454496	0.3601812	0.01264167	0.3601812	0.01044803	0.3601812	0.02299055	0.3535411	0.07136093	0.3668212	0.01628379	0.632401	0.02370494	0.4929775	2.238498e-10	0.4996171	0.004988162	0.9841968	0.00173558	0.4929775	0.0062451	0.4597794	0.0005345986	0.546093	6.048429e-06	0.3668212	0.005779125	0.3402609	0.6962337	0.4929775	0.04269661	0.4996171	0.01086002	0.632401	0.01607636	0.3004198	1.175703	0.3004198	0.09410009
0.3668212	0.02249539	0.3668212	0.01375839	0.3601812	0.01037154	0.3734613	0.01192131	0.3668212	0.03480069	0.3668212	0.02303386	0.5660107	0.0001917767	0.3668212	0.01863261	0.3601812	0.0186815	0.3801013	0.01350466	0.3668212	0.01593118	0.3668212	0.01851852	0.3668212	0.03487426	0.3601812	0.08494336	0.3734613	0.02202793	0.6390398	0.03973067	0.4996171	0.0005539602	0.5062566	0.0005037897	0.9908331	0.003417253	0.4996171	0.04829502	0.4664191	0.0123743	0.5527323	3.663453e-05	0.3734613	0.01264773	0.346901	0.6242474	0.4996171	0.06142825	0.5062566	0.002253352	0.6390398	0.0005112712	0.3070601	0.4384151	0.3070601	0.158588
0.3734613	0.02441429	0.3734613	0.01986854	0.3668212	0.0169163	0.3801013	0.01263687	0.3734613	0.03098546	0.3734613	0.03012481	0.5726499	0.002066823	0.3734613	0.01813689	0.3668212	0.0083403	0.3867413	0.009901829	0.3734613	0.01452695	0.3734613	0.01287605	0.3734613	0.02877846	0.3668212	0.08773201	0.3801013	0.01807051	0.6456786	0.02651445	0.5062566	0.004130672	0.5128961	0.004175473	0.9974693	0.001599782	0.5062566	0.001515084	0.4730588	0.00680592	0.5593715	0.005009548	0.3801013	0.01655829	0.3535411	0.5736172	0.5062566	0.02972895	0.5128961	0.01966422	0.6456786	0.001844893	0.3137003	0.5194828	0.3137003	0.08006681
0.3801013	0.02112809	0.3801013	0.02273517	0.3734613	0.02171598	0.3867413	0.008684125	0.3801013	0.03405399	0.3801013	0.01455673	0.5792891	0.01024086	0.3801013	0.01009984	0.3734613	0.01855034	0.3933812	0.01756613	0.3801013	0.02481293	0.3801013	0.01124616	0.3801013	0.02898005	0.3734613	0.07301648	0.3867413	0.01349164	0.6523173	0.02771301	0.5128961	0.0001364833	0.5195355	0.01307791	1.004105	0.009670119	0.5128961	0.01045544	0.4796984	0.0003408593	0.5660107	0.0001647356	0.3867413	0.007437182	0.3601812	0.5701991	0.5128961	0.006571965	0.5195355	0.01598263	0.6523173	0.002805883	0.3203405	0.8720655	0.3203405	0.2367008
0.3867413	0.01389422	0.3867413	0.01352686	0.3801013	0.01634803	0.3933812	0.01491643	0.3867413	0.01515982	0.3867413	0.009733355	0.5992063	0.005776904	0.3867413	0.008896241	0.3801013	0.009380024	0.4000211	0.01835338	0.3867413	0.01009659	0.3867413	0.007575407	0.3867413	0.01619869	0.3801013	0.07242394	0.3933812	0.02307413	0.6589561	0.01590727	0.5195355	0.0009198722	0.5261749	0.002551128	1.010741	0.002492348	0.5195355	0.00527831	0.486338	0.007186384	0.5726499	0.001791684	0.3933812	0.01393274	0.3668212	0.4755342	0.5195355	0.03081595	0.5261749	0.01413878	0.6589561	0.009265304	0.3269806	0.8424757	0.3269806	0.2551311
0.3933812	0.02374452	0.3933812	0.01681474	0.3867413	0.01048497	0.4000211	0.01742942	0.3933812	0.03604754	0.3933812	0.03408778	0.6124843	0.006420593	0.3933812	0.01716311	0.3867413	0.004371963	0.4066611	0.02025242	0.3933812	0.01739984	0.3933812	0.01925509	0.3933812	0.03390899	0.3867413	0.04400968	0.4000211	0.01871012	0.6655947	0.02749349	0.5261749	0.01957541	0.5328143	0.003612289	1.017378	0.002937983	0.5261749	0.02032733	0.4929775	0.0002468454	0.5792891	0.007120862	0.4000211	0.01344064	0.3734613	0.4404336	0.5261749	0.03235556	0.5328143	0.05802986	0.6655947	0.007529474	0.3336208	0.7851347	0.3336208	0.3661622
