OTAB_078wtp_T060_q	OTAB_078wtp_T060_i	OTAB_082wtp_T025_q	OTAB_082wtp_T025_i	OTAB_078wtp_T058_q	OTAB_078wtp_T058_i	OTAB_093wtp_T025_q	OTAB_093wtp_T025_i	OTAB_100wtp_T095_q	OTAB_100wtp_T095_i
0.8713718	0.01788319	1.004105	0.006348637	0.8647345	0.01075152	0.6722334	0.05952591	0.6722334	0.03793922
0.878009	0.02650643	1.010741	0.007162298	0.8713718	0.06687562	0.6788719	0.02828871	0.6788719	0.06825569
0.8846462	0.05809357	1.017378	0.01822326	0.878009	0.04417767	0.6855105	0.04108291	0.6855105	0.02380389
0.8912832	0.02723308	1.024013	0.01681383	0.8846462	0.06045539	0.692149	0.103055	0.692149	0.04848491
0.8979203	0.02979931	1.030649	0.01675091	0.8912832	0.02516286	0.6987875	0.04465805	0.6987875	0.06571001
0.9045573	0.03544886	1.037285	0.004452241	0.8979203	0.05748003	0.7054259	0.0481281	0.7054259	0.1004628
0.9111942	0.05958399	1.043921	0.0171046	0.9045573	0.02543405	0.7120643	0.07662205	0.7120643	0.07512523
0.9178311	0.03556509	1.050557	0.00859038	0.9111942	0.02105598	0.7187026	0.05576909	0.7187026	0.003488847
0.9244679	0.03268299	1.057192	0.01027267	0.9178311	0.01750603	0.7253409	0.0743947	0.7253409	0.02661188
0.9311047	0.04267799	1.063828	0.006831335	0.9244679	0.03464372	0.7319792	0.05071503	0.7319792	0.07588316
0.9377414	0.04818241	1.070463	0.0129121	0.9311047	0.05383676	0.7386174	0.02818152	0.7386174	0.05009113
0.9443781	0.0111188	1.077099	0.01262433	0.9377414	0.02807375	0.7452555	0.05363733	0.7452555	0.01265256
0.9510147	0.04212758	1.083734	0.006154655	0.9443781	0.0335147	0.7518937	0.0549146	0.7518937	0.006212727
0.9576512	0.07388895	1.09037	0.01239728	0.9510147	0.03361958	0.7585317	0.01380879	0.7585317	0.08644256
0.9642877	0.0546298	1.097005	0.00471933	0.9576512	0.07564774	0.7651698	0.04845029	0.7651698	0.01928458
0.9709241	0.03260308	1.10364	0.007119995	0.9642877	0.02249243	0.7718078	0.06722095	0.7718078	0.1993747
0.9775605	0.02291876	1.110275	0.007804614	0.9709241	0.03569012	0.7784457	0.106856	0.7784457	0.016644
0.9841968	0.05836719	1.11691	0.007000844	0.9775605	0.01954241	0.7850836	0.04080793	0.7850836	0.008998007
0.9908331	0.04912432	1.123545	0.01282945	0.9841968	0.0336072	0.7917214	0.01411256	0.7917214	0.09922201
0.9974693	0.0599232	1.13018	0.004847517	0.9908331	0.03984135	0.7983592	0.03269806	0.7983592	0.005451296
1.004105	0.02868881	1.136815	0.009993261	0.9974693	0.01135321	0.804997	0.01538244	0.804997	0.07281538
1.010741	0.05335891	1.14345	0.005788138	1.004105	0.03763156	0.8116347	0.08457253	0.8116347	0.1282289
1.017378	0.02174954	1.150085	0.00405572	1.010741	0.07206873	0.8182724	0.02831129	0.8182724	0.01133786
1.024013	0.06212604	1.156719	0.0131035	1.017378	0.03896981	0.82491	0.04333624	0.82491	0.1901035
1.030649	0.03131722	1.163354	0.007596537	1.024013	0.05941242	0.8315475	0.01437373	0.8315475	0.05164055
1.037285	0.07083787	1.169988	0.01021162	1.030649	0.01839113	0.838185	0.05014547	0.838185	0.009459662
1.043921	0.06083386	1.176623	0.01226143	1.037285	0.04096621	0.8448225	0.0433765	0.8448225	0.06174614
1.050557	0.04706611	1.183257	0.01217521	1.043921	0.02357459	0.8514599	0.02883963	0.8514599	0.03958413
1.057192	0.006913037	1.189891	0.007854615	1.050557	0.03661139	0.8580972	0.03969213	0.8580972	0.1025136
1.063828	0.02785695	1.196526	0.01198021	1.057192	0.04476635	0.8647345	0.005307487	0.8647345	0.1390644
1.070463	0.01778033	1.20316	0.01033176	1.063828	0.03095649	0.8713718	0.01894807	0.8713718	0.02540463
1.077099	0.04869989	1.209794	0.01380652	1.070463	0.01810611	0.878009	0.03252741	0.878009	0.01752655
1.083734	0.05355667	1.216428	0.008390612	1.077099	0.06341085	0.8846462	0.04213599	0.8846462	0.01026544
1.09037	0.04806143	1.223062	0.003777229	1.083734	0.04350171	0.8912832	0.06317453	0.8912832	0.01145681
1.097005	0.03844916	1.229696	0.01555841	1.09037	0.03258957	0.8979203	0.03452528	0.8979203	0.01471158
1.10364	0.06327773	1.23633	0.009634815	1.097005	0.08541293	0.9045573	0.01976369	0.9045573	0.1322043
1.110275	0.02299764	1.242963	0.0163442	1.10364	0.03097632	0.9111942	0.05028913	0.9111942	0.07982917
1.11691	0.03346685	1.249597	0.01590298	1.110275	0.1061673	0.9178311	0.009896462	0.9178311	0.0270796
1.123545	0.05949273	1.256231	0.01361226	1.11691	0.03292134	0.9244679	0.02394611	0.9244679	0.04504247
1.13018	0.01989215	1.262864	0.01461254	1.123545	0.06124724	0.9311047	0.04604495	0.9311047	0.0433524
1.136815	0.04321494	1.269498	0.009299909	1.13018	0.02791938	0.9377414	0.0449831	0.9377414	0.008306673
1.14345	0.03586645	1.276131	0.0135136	1.136815	0.02400269	0.9443781	0.0256108	0.9443781	0.005631833
1.150085	0.04761506	1.282764	0.008919059	1.14345	0.05245748	0.9510147	0.0370648	0.9510147	0.07428528
1.156719	0.03900643	1.289397	0.01203532	1.150085	0.05574171	0.9576512	0.06787087	0.9576512	0.1270339
1.163354	0.1017898	1.296031	0.01532697	1.156719	0.06845782	0.9642877	0.03499765	0.9642877	0.09791454
1.169988	0.02679706	1.302664	0.009089476	1.163354	0.06226984	0.9709241	0.02183757	0.9709241	0.02977576
1.176623	0.07928693	1.309297	0.01252599	1.169988	0.02067051	0.9775605	0.03332354	0.9775605	0.07883862
1.183257	0.07182466	1.315929	0.01660766	1.176623	0.01404749	0.9841968	0.04538005	0.9841968	0.04200025
1.189891	0.1354709	1.322562	0.006454292	1.183257	0.07454693	0.9908331	0.03554106	0.9908331	0.004983294
